City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,yegorlykskaya,46.5656,40.6562,7.05,95,11,3.26,RU,1681089530
129,barrow,71.2906,-156.7887,-17.99,71,100,4.63,US,1681089531
130,melfort,52.8667,-104.6177,4.07,65,100,6.17,CA,1681089531
131,waddan,29.1614,16.139,13.05,48,69,2.07,LY,1681089531
132,port elizabeth,-33.918,25.5701,13.51,72,0,3.09,ZA,1681089532
133,saint-philippe,-21.3585,55.7679,23.77,85,100,4.84,RE,1681089532
134,baykit,61.67,96.37,-17.23,98,99,0.7,RU,1681089392
135,geraldton,-28.7667,114.6,21.23,68,10,4.63,AU,1681089532
136,tiznit,29.5833,-9.5,20.67,24,81,1.64,MA,1681089533
137,necochea,-38.5473,-58.7368,20.17,57,67,4.61,AR,1681089533
138,salalah,17.0151,54.0924,27.05,78,75,1.54,OM,1681089518
139,ilulissat,69.2167,-51.1,-4.99,93,75,4.63,GL,1681089533
140,ulladulla,-35.35,150.4667,18.2,38,4,5.64,AU,1681089533
141,wajima,37.4,136.9,17.38,48,0,8.75,JP,1681089534
142,baillif,16.0202,-61.7463,24.72,81,90,6.08,GP,1681089534
143,buraydah,26.326,43.975,19.25,14,96,4.97,SA,1681089534
144,rio gallegos,-51.6226,-69.2181,3.03,60,20,6.69,AR,1681089535
145,karratha,-20.7377,116.8463,28.73,32,75,5.36,AU,1681089535
146,andapa,-14.65,49.65,20.55,99,100,0.81,MG,1681089536
147,katherine,-14.4667,132.2667,28.18,69,75,4.12,AU,1681089536
148,bathsheba,13.2167,-59.5167,26.34,78,20,8.75,BB,1681089536
149,quatre cocos,-20.2078,57.7625,25.61,85,100,3.93,MU,1681089537
150,olavarria,-36.8927,-60.3225,18.25,56,13,3.7,AR,1681089537
151,sibolga,1.7427,98.7792,25.96,81,100,1.1,ID,1681089537
152,panalingaan,8.7842,117.4231,28.26,69,100,0.3,PH,1681089538
153,kamyshla,54.1169,52.1426,3.49,51,9,1.46,RU,1681089538
154,cap malheureux,-19.9842,57.6142,25.82,77,100,1.34,MU,1681089538
155,luganville,-15.5333,167.1667,30.38,66,93,3.0,VU,1681089538
156,xucheng,20.35,110.1288,22.98,89,100,6.3,CN,1681089539
157,torbay,47.6666,-52.7314,-2.46,60,40,8.23,CA,1681089539
158,serra talhada,-7.9919,-38.2983,25.53,67,100,2.58,BR,1681089539
159,pangkalanbuun,-2.6833,111.6167,27.57,76,65,2.0,ID,1681089540
160,shaunavon,49.6501,-108.4181,5.88,90,59,5.34,CA,1681089540
161,omboue,-1.5746,9.2618,24.37,91,100,1.62,GA,1681089541
162,aykhal,66.0,111.5,-21.38,93,100,1.74,RU,1681089541
163,nemencine,54.85,25.4833,5.71,91,30,1.06,LT,1681089542
164,santa rosa,14.3122,121.1114,30.01,69,100,4.54,PH,1681089011
165,makakilo city,21.3469,-158.0858,26.18,71,75,5.66,US,1681089542
166,quelimane,-17.8786,36.8883,23.16,97,34,1.56,MZ,1681089543
167,mar del plata,-38.0023,-57.5575,21.72,63,0,5.66,AR,1681089156
168,shunyi,40.125,116.6453,16.97,63,0,1.0,CN,1681089543
169,sinnamary,5.3833,-52.95,25.3,85,14,3.65,GF,1681089544
170,fethiye,36.6217,29.1164,12.93,86,87,1.02,TR,1681089544
171,kruisfontein,-34.0033,24.7314,10.49,82,0,3.66,ZA,1681089544
172,rybachiy,48.7073,44.7449,3.92,59,0,2.53,RU,1681089545
